text,sentiment
not a good Idea,neg
Horrible,neg
LOVE LOVE LOVE,pos
"don't waste your money, pay more and buy one at Walgreen s.",neg
leopard home button sticker for iphone 4s,pos
Be careful,neg
best thing ever..,pos
bad experience,neg
Solid Case,pos
Poor Quality Cell Phone Charger,neg
Perfect Case,pos
FAIL,neg
Just what I needed,pos
Does not work.,neg
A Winner,pos
Stopped Working after 1 1/2 month..,neg
Absolutely love the case !!,pos
It works...mostly as a conversation piece since it won't charge a thing,neg
Best Rechargeable Battery Case on the Market!!!!!!!!!! A++++++++,pos
Unfortunate item.,neg
Exactly what I needed,pos
Not Very Good!,neg
5 star phone case,pos
It doesn't charge properly,neg
SUPER DUPER QUALITY!,pos
Not as nice as I thought it would be,neg
Top Quality. Works like the Expensive Version,pos
Bad Quality,neg
High power as promised!,pos
Broken,neg
USB Port,pos
Almost every positive review posted for this product is fake,neg
Works great,pos
Fake Positive Reviews,neg
Works great,pos
terrible,neg
USB slots in a blue light that never quits,pos
dissatisfied,neg
good,pos
DOES NOT WORK FOR SPRINT EPIC TOUCH!,neg
charger,pos
Wrong size / design,neg
Works great. Very inexpensive,pos
I bought 3 and 0 worked,neg
Five Stars,pos
Not compatible for LG Dare,neg
works,pos
crap cable,neg
USB Outlet,pos
Does not fit,neg
Great Dual Charger,pos
coming undone,neg
A must have for people on the go,pos
Do not waste your time.,neg
"Great DC Charger, Works Great, $2 Value",pos
no bueno,neg
good product at low price,pos
It died after a few,neg
I recommend,pos
Very unfortunate product,neg
Perfect!,pos
Works but with a consequence,neg
Pretty,pos
Not the right car charger fot the i4s,neg
Great,pos
I HATE IT,neg
better than expected!,pos
"Update: Would die after 5 hours, installed for 4 weeks!",neg
Simple and Attractive Protector,pos
"avoid this battery and everything sold by ""power sell""",neg
Love it!,pos
Would not charge or hold a charge.,neg
Love it,pos
Cheap Crap not even my dog wanted to eat it and he eats everything else in the house.,neg
good deal,pos
used,neg
stylish!,pos
Impossible to wear,neg
SOOO CUTE AND AFFORDABLE!,pos
How is this supposed to work?,neg
plastic with suede,pos
Not well suited for the Jawbone II,neg
"Great buy, great quality",pos
don't buy,neg
Great charger and great price,pos
Not worth any amount of money,neg
Great multipurpose charger!,pos
Clicking and Whistling,neg
Holds up over time,pos
